"entity","en.hedo.happiness.delta_one_of_5__max","en.hedo.happiness.delta_one_of_5__mean","en.hedo.happiness.delta_one_of_5__mean_word_count_per_tweet","en.hedo.happiness.delta_one_of_5__median","en.hedo.happiness.delta_one_of_5__min","en.hedo.happiness.delta_one_of_5__mode","en.hedo.happiness.delta_one_of_5__num_tweets","en.hedo.happiness.delta_one_of_5__num_tweets_percentage","en.hedo.happiness.delta_one_of_5__sd","en.hedo.happiness.more_than_7__max","en.hedo.happiness.more_than_7__mean","en.hedo.happiness.more_than_7__mean_word_count_per_tweet","en.hedo.happiness.more_than_7__median","en.hedo.happiness.more_than_7__min","en.hedo.happiness.more_than_7__mode","en.hedo.happiness.more_than_7__num_tweets","en.hedo.happiness.more_than_7__num_tweets_percentage","en.hedo.happiness.more_than_7__sd","en.hedo.happiness.no_filter__max","en.hedo.happiness.no_filter__mean","en.hedo.happiness.no_filter__mean_word_count_per_tweet","en.hedo.happiness.no_filter__median","en.hedo.happiness.no_filter__min","en.hedo.happiness.no_filter__mode","en.hedo.happiness.no_filter__num_tweets","en.hedo.happiness.no_filter__num_tweets_percentage","en.hedo.happiness.no_filter__sd","es.anew.arousal.delta_one_of_5__max","es.anew.arousal.delta_one_of_5__mean","es.anew.arousal.delta_one_of_5__mean_word_count_per_tweet","es.anew.arousal.delta_one_of_5__median","es.anew.arousal.delta_one_of_5__min","es.anew.arousal.delta_one_of_5__mode","es.anew.arousal.delta_one_of_5__num_tweets","es.anew.arousal.delta_one_of_5__num_tweets_percentage","es.anew.arousal.delta_one_of_5__sd","es.anew.arousal.more_than_7__max","es.anew.arousal.more_than_7__mean","es.anew.arousal.more_than_7__mean_word_count_per_tweet","es.anew.arousal.more_than_7__median","es.anew.arousal.more_than_7__min","es.anew.arousal.more_than_7__mode","es.anew.arousal.more_than_7__num_tweets","es.anew.arousal.more_than_7__num_tweets_percentage","es.anew.arousal.more_than_7__sd","es.anew.dominance.delta_one_of_5__max","es.anew.dominance.delta_one_of_5__mean","es.anew.dominance.delta_one_of_5__mean_word_count_per_tweet","es.anew.dominance.delta_one_of_5__median","es.anew.dominance.delta_one_of_5__min","es.anew.dominance.delta_one_of_5__mode","es.anew.dominance.delta_one_of_5__num_tweets","es.anew.dominance.delta_one_of_5__num_tweets_percentage","es.anew.dominance.delta_one_of_5__sd","es.anew.dominance.more_than_7__max","es.anew.dominance.more_than_7__mean","es.anew.dominance.more_than_7__mean_word_count_per_tweet","es.anew.dominance.more_than_7__median","es.anew.dominance.more_than_7__min","es.anew.dominance.more_than_7__mode","es.anew.dominance.more_than_7__num_tweets","es.anew.dominance.more_than_7__num_tweets_percentage","es.anew.dominance.more_than_7__sd","es.anew.valence.delta_one_of_5__max","es.anew.valence.delta_one_of_5__mean","es.anew.valence.delta_one_of_5__mean_word_count_per_tweet","es.anew.valence.delta_one_of_5__median","es.anew.valence.delta_one_of_5__min","es.anew.valence.delta_one_of_5__mode","es.anew.valence.delta_one_of_5__num_tweets","es.anew.valence.delta_one_of_5__num_tweets_percentage","es.anew.valence.delta_one_of_5__sd","es.anew.valence.more_than_7__max","es.anew.valence.more_than_7__mean","es.anew.valence.more_than_7__mean_word_count_per_tweet","es.anew.valence.more_than_7__median","es.anew.valence.more_than_7__min","es.anew.valence.more_than_7__mode","es.anew.valence.more_than_7__num_tweets","es.anew.valence.more_than_7__num_tweets_percentage","es.anew.valence.more_than_7__sd"
"Maryland",8.54,6.26,1.17,6.41,1.11,6.46,14643,4.95,1.74,8.54,7.71,1.08,7.72,7.01,7.44,5447,1.84,0.44,8.54,6.13,1.19,6.41,1.11,6.46,16426,5.55,1.66,6.51,6.51,1,6.51,6.51,6.51,1,0,NA,21.03,21.03,1,21.03,21.03,21.03,1,0,NA,7.51,7.51,1,7.51,7.51,7.51,1,0,NA,0,0,1,0,0,0,1,0,NA,0,0,1,0,0,0,1,0,NA,0,0,1,0,0,0,1,0,NA
"Massachusetts",8.54,6.3,1.18,6.41,1.17,6.46,14174,3.09,1.4,8.54,7.51,1.04,7.36,7.01,7.24,3647,0.8,0.36,8.54,6.19,1.17,6.41,1.17,6.46,15378,3.36,1.38,NA,NA,NA,NA,NA,NA,0,0,NA,21.03,21.03,2.5,21.03,21.03,21.14,2,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,2.5,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,2.5,0,0,0,2,0,0
"Michigan",8.5,6.36,1.17,6.41,1.23,6.46,9041,2.72,1.2,8.5,7.4,1.04,7.33,7.01,7.44,2073,0.62,0.28,8.5,6.26,1.17,6.41,1.23,6.46,9687,2.92,1.22,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA
"Minnesota",8.54,6.25,1.2,6.41,1.11,6.46,4091,4.11,1.61,8.54,7.63,1.09,7.48,7.01,7.44,1279,1.28,0.44,8.54,6.13,1.21,6.41,1.11,6.46,4538,4.56,1.55,19.62,14.8,4.5,14.8,9.99,19.57,2,0,6.81,NA,NA,NA,NA,NA,NA,0,0,NA,2.94,1.47,4.5,1.47,0,2.94,2,0,2.08,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,4.5,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,0,0,NA
"Mississippi",8.37,6.34,1.19,6.41,1.48,6.46,1833,2.34,1.21,8.37,7.39,1.02,7.36,7.03,7.44,381,0.49,0.23,8.37,6.27,1.19,6.41,1.48,6.46,1918,2.45,1.22,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA
"Missouri",8.54,6.24,1.18,6.41,1.17,6.46,7057,3.87,1.58,8.54,7.63,1.07,7.48,7.01,7.44,2084,1.14,0.43,8.54,6.13,1.19,6.41,1.17,6.46,7674,4.21,1.53,6.1,6.1,2,6.1,6.1,6.1,1,0,NA,23.37,23.37,1,23.37,23.37,23.37,1,0,NA,6,6,2,6,6,6,1,0,NA,0,0,1,0,0,0,1,0,NA,3.52,3.52,2,3.52,3.52,3.52,1,0,NA,0,0,1,0,0,0,1,0,NA
"Montana",8.5,6.37,1.19,6.41,1.23,6.46,367,3.88,1.36,8.5,7.54,1.07,7.36,7.03,7.44,103,1.09,0.42,8.5,6.24,1.18,6.41,1.23,6.46,406,4.3,1.34,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA
"Nebraska",8.54,6.39,1.2,6.41,1.11,6.46,1113,2.97,1.23,8.54,7.48,1.04,7.36,7.03,7.44,270,0.72,0.34,8.54,6.29,1.19,6.41,1.11,6.46,1187,3.16,1.24,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA
"Nevada",8.54,6.26,1.18,6.41,1.11,6.46,7393,3.81,1.62,8.54,7.63,1.07,7.46,7.01,7.44,2343,1.21,0.43,8.54,6.14,1.19,6.41,1.11,6.46,8160,4.2,1.56,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,10.62,10.62,1,10.62,10.62,10.62,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA
"New Hampshire",8.41,6.26,1.19,6.41,1.34,6.46,1325,2.91,1.34,8.5,7.37,1.03,7.36,7.01,7.44,300,0.66,0.24,8.41,6.16,1.19,6.41,1.34,6.46,1416,3.1,1.34,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA
"New Jersey",8.54,6.35,1.17,6.41,1.23,6.46,8083,3.35,1.47,8.54,7.63,1.06,7.47,7.01,7.44,2404,1,0.45,8.54,6.24,1.18,6.41,1.23,6.46,8752,3.63,1.45,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA
"New Mexico",8.54,6.21,1.22,6.57,1.11,6.46,5428,7.54,1.93,8.54,7.82,1.1,7.91,7.01,8.02,2321,3.22,0.44,8.54,6.07,1.25,6.41,1.11,6.46,6157,8.55,1.81,6.51,6.51,1,6.51,6.51,6.51,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,7.66,7.66,1,7.66,7.66,7.66,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA
"New York",8.54,6.25,1.18,6.41,1.11,6.46,39824,4.27,1.62,8.54,7.66,1.08,7.49,7.01,7.24,12326,1.32,0.43,8.54,6.13,1.2,6.41,1.11,6.46,43989,4.71,1.56,19.62,19.62,8,19.62,19.62,19.62,1,0,NA,28.04,28.04,1,28.04,28.04,28.04,1,0,NA,0,0,8,0,0,0,1,0,NA,0,0,1,0,0,0,1,0,NA,0,0,8,0,0,0,1,0,NA,0,0,1,0,0,0,1,0,NA
"North Carolina",8.5,6.35,1.18,6.41,1.17,6.46,8780,2.75,1.21,8.5,7.43,1.03,7.36,7.03,7.44,1880,0.59,0.29,8.5,6.26,1.18,6.41,1.17,6.46,9306,2.91,1.23,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA
"North Dakota",8.5,6.39,1.17,6.41,1.23,6.46,282,3.84,1.48,8.5,7.66,1.06,7.7,7.03,7.44,85,1.16,0.45,8.5,6.27,1.21,6.41,1.23,6.46,304,4.14,1.44,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA
"Ohio",8.54,6.3,1.18,6.41,1.11,6.46,18922,4.07,1.5,8.54,7.65,1.06,7.48,7.01,7.44,5353,1.15,0.45,8.54,6.19,1.18,6.41,1.11,6.46,20581,4.43,1.47,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA
"Oklahoma",8.5,6.32,1.18,6.41,1.34,6.46,2757,2.75,1.28,8.5,7.44,1.05,7.36,7.03,7.44,620,0.62,0.3,8.5,6.24,1.17,6.41,1.34,6.46,2919,2.91,1.29,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA
"Oregon",8.5,6.29,1.17,6.41,1.23,6.46,2503,3.88,1.38,8.5,7.51,1.04,7.36,7.01,7.44,608,0.94,0.35,8.5,6.19,1.17,6.41,1.23,6.46,2692,4.18,1.37,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA
"Pennsylvania",8.54,6.35,1.17,6.41,1.23,6.46,16237,2.95,1.22,8.54,7.43,1.04,7.36,7.01,7.44,3636,0.66,0.31,8.54,6.26,1.16,6.41,1.23,6.46,17242,3.13,1.23,NA,NA,NA,NA,NA,NA,0,0,NA,21.03,21.03,1,21.03,21.03,21.14,5,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,1,0,0,0,5,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,1,0,0,0,5,0,0
"Rhode Island",8.5,6.4,1.21,6.41,1.34,6.46,1021,2.68,1.27,8.5,7.51,1.07,7.36,7.03,7.44,282,0.74,0.35,8.5,6.32,1.2,6.41,1.34,6.46,1081,2.84,1.27,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA
"South Carolina",8.54,6.35,1.19,6.41,1.23,6.46,4238,2.81,1.26,8.54,7.48,1.04,7.36,7.01,7.24,978,0.65,0.34,8.54,6.26,1.19,6.41,1.23,6.46,4523,3,1.26,NA,NA,NA,NA,NA,NA,0,0,NA,21.03,21.03,1,21.03,21.03,21.03,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,1,0,0,0,1,0,NA
"South Dakota",8.07,6.29,1.18,6.41,1.34,6.46,413,3.01,1.27,8.07,7.37,1.01,7.33,7.03,7.44,82,0.6,0.2,8.07,6.17,1.18,6.41,1.34,6.46,448,3.26,1.28,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA
"Tennessee",8.5,6.33,1.18,6.41,1.17,6.46,7344,3.34,1.33,8.54,7.55,1.05,7.36,7.01,7.24,1740,0.79,0.41,8.5,6.25,1.18,6.41,1.17,6.46,7837,3.56,1.32,19.62,19.62,8,19.62,19.62,19.62,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,8,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,8,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA
