"North Carolina,Robeson County",4680
"Ohio,Jackson County",352
"Washington,Kittitas County",409
"Idaho,Bingham County",29714
"Wisconsin,Rock County",1348
"Iowa,Jefferson County",149
"Colorado,Garfield County",1742
"Michigan,Gratiot County",322
"Louisiana,East Carroll Parish",21691
"Virginia,Washington County",1782
"West Virginia,Marshall County",124
"New York,Broome County",1491
"North Dakota,Grand Forks County",2323
"Georgia,Muscogee County",14348
"Tennessee,Blount County",2610
"Arkansas,Dallas County",230
"Indiana,Greene County",250
"Virginia,Lynchburg City",3449
"Missouri,Texas County",9099
"New Jersey,Salem County",277
"New York,Rensselaer County",901
"Washington,Snohomish County",6158
"Tennessee,Monroe County",820
"Alabama,Franklin County",388
"Texas,Harris County",373563
"South Dakota,Walworth County",353
"Kansas,Miami County",108
"Idaho,Bannock County",527
"Georgia,Lamar County",636
"Tennessee,Sumner County",1973
"Mississippi,Clay County",193
"Texas,Taylor County",3721
"New York,Franklin County",140
"South Carolina,Beaufort County",3248
"Oklahoma,Garfield County",432
"Florida,Flagler County",1573
"Montana,Cascade County",655
"Arkansas,Columbia County",839
"Kansas,Clay County",5388
"Illinois,Livingston County",86
"Iowa,Hardin County",145
"Mississippi,Sharkey County",250
"Minnesota,Mower County",423
"Kentucky,Campbell County",1634
"Indiana,St Joseph County",9206
"Illinois,Lee County",2196
"Massachusetts,Essex County",60986
"Massachusetts,Franklin County",919
"New York,St Lawrence County",273
"Georgia,Dekalb County",26950
"Kentucky,Carroll County",192
"North Carolina,Scotland County",599
"Minnesota,Kandiyohi County",961
"Florida,Marion County",5711
"Washington,Whatcom County",844
"Texas,Wichita County",3774
"New Mexico,Lea County",1444
"Arkansas,Clark County",993
"North Carolina,Rowan County",1790
"Tennessee,Bedford County",502
"Montana,Mineral County",462
"Iowa,Harrison County",143
"Wisconsin,Vernon County",504
"Colorado,Moffat County",204
"Alabama,Colbert County",516
"Virginia,Fairfax City",4659
"Georgia,Catoosa County",674
"Georgia,Houston County",5412
"Ohio,Trumbull County",5773
"Iowa,Black Hawk County",5070
"West Virginia,Wood County",1853
"Arkansas,Jackson County",6541
"New York,Genesee County",1302
"Tennessee,Shelby County",65093
"Minnesota,Itasca County",917
"Vermont,Windsor County",1419
"Rhode Island,Bristol County",272
"Oklahoma,Canadian County",2839
"Texas,Gregg County",1962
"Oregon,Clackamas County",3078
"Pennsylvania,Clarion County",703
"Texas,Dallas County",268427
"Maryland,Charles County",77936
"Montana,Ravalli County",176
"Alabama,Lee County",9551
"Iowa,Clayton County",172
"New York,Cayuga County",678
"Georgia,Morgan County",256
"Arkansas,Clay County",1926
"Missouri,Cass County",294
"Michigan,Washtenaw County",12244
"Virginia,Isle of Wight County",7937
"Illinois,Vermilion County",5495
"California,San Francisco County",2941
"Texas,Victoria County",2723
"New Mexico,Cibola County",3537
"Missouri,Jackson County",35854
"Illinois,Logan County",520
"Virginia,Albemarle County",746
"Florida,Nassau County",125
"Florida,Hardee County",1933
"Texas,Hidalgo County",21808
"Mississippi,Lauderdale County",4551
"Mississippi,Hinds County",12780
"Utah,Summit County",814
"New Mexico,San Juan County",1240
"Kansas,Bourbon County",761
"Wisconsin,Fond Du Lac County",471
"Minnesota,Beltrami County",641
"North Dakota,Burleigh County",905
"Florida,Collier County",6294
"Colorado,Kit Carson County",1463
"Georgia,Coffee County",450
"Tennessee,White County",65
"California,Butte County",138692
"Iowa,Wapello County",641
"Pennsylvania,Clearfield County",108
"California,Humboldt County",2536
"Illinois,Hardin County",816
"Virginia,Stafford County",1242
"Ohio,Columbiana County",865
"Arkansas,Van Buren County",1839
"Kentucky,Adair County",793
"West Virginia,Raleigh County",2537
"Virginia,Fredericksburg City",3794
"Indiana,Steuben County",547
"New York,Warren County",129
"Arkansas,Madison County",1858
"California,Solano County",5258
"Alabama,Marshall County",2806
"Tennessee,Montgomery County",6296
"Georgia,Laurens County",2369
"Louisiana,Orleans Parish",67604
"Arkansas,Mississippi County",2493
"Iowa,Muscatine County",1336
"Iowa,Benton County",303
"Alabama,Sumter County",4448
"Arizona,Greenlee County",1037
"Washington,Yakima County",3083
"Louisiana,Rapides Parish",4608
"North Carolina,Catawba County",2614
"Utah,Utah County",2177
"Nevada,Carson City",601
"Utah,Washington County",1398
"Virginia,Hampton City",7241
"Pennsylvania,Monroe County",1489
"Texas,Galveston County",8945
"Tennessee,Putnam County",890
"Ohio,Huron County",464
"New Jersey,Somerset County",2406
"Wyoming,Albany County",291
"Alabama,Coosa County",1118
"Texas,Grayson County",669
"Maryland,Wicomico County",1697
"Kentucky,Logan County",146
"Alabama,Washington County",2454
"Virginia,Norfolk City",15021
"Indiana,Vermillion County",5765
"Illinois,Piatt County",789
"New Hampshire,Merrimack County",4091
"North Carolina,Mecklenburg County",87191
"Louisiana,East Baton Rouge Parish",27058
"Illinois,Jasper County",93
"Kentucky,Jessamine County",862
"Georgia,Glynn County",3868
"Utah,Salt Lake County",33404
"South Dakota,Kingsbury County",1979
"Virginia,Charlottesville City",3129
"New Hampshire,Sullivan County",1126
"Ohio,Hancock County",1141
"Ohio,Union County",282
